description,input_description,output_description,problem_class,problem_score
"Unununium (Uuu) was the name of the chemical
    element with atom number 111, until it changed to
    Röntgenium (Rg) in 2004. These heavy elements are very
    unstable and have only been synthesized in a few
    laboratories.
You have just been hired by one of these labs to optimize
    the algorithms used in simulations. For example, when
    simulating complicated chemical reactions, it is important to
    keep track of how many particles there are, and this is done by
    counting connected components in a graph.
Currently, the lab has some Python code (see attachments)
    that takes an undirected graph and outputs the number of
    connected components. As you can see, this code is based on
    everyone’s favourite data structure union-find1.
After looking at the code for a while, you notice that it
    actually has a bug in it! The code still gives correct answers,
    but the bug could cause it to run inefficiently. Your task is
    to construct a graph with a given number of vertices and edges
    where the code runs very slowly. We will count how many times
    the third line (the one inside the while loop) is visited, and
    your program will get a score according to this number.
","The input consists of one line with two integers
    $N$ and $M$, the number of vertices and edges
    your graph should have. Apart from the sample, there will be
    only one test case, with $N =
    100$ and $M =
    500$.","The output consists of $M$ lines where the $i$:th contains two integers
    $u_ i$ and $v_ i$ ($1 \leq u_ i, v_ i \leq N$). This
    indicates that the vertices $u_
    i$ and $v_ i$ are
    connected with an edge in your graph.",hard,9.7
"A number of eccentrics from central New York have decided
    that they have had enough of modern society, and want to move
    from there. Together they have bought a rectangular piece of
    land far away, and will now settle there.
The land consists of $N \times
    M$ squares, and it is possible to build a maximum of one
    house on a given square. Each square has value $a_{x,y}$ that describes how nice it
    is, on a scale between $0$
    and $100$.
The goal of the eccentrics is to get as far away as possible
    from everyone else, including each other. The happiness an
    eccentric experiences from building his house on square
    $(x,y)$ is thus
    $a_{x,y}\cdot d$, where
    $d$ is the smallest
    distance to another person.
Out of habit, the eccentrics use Manhattan
    distance to measure this; $d$ is defined as $\min |x - x_2| + |y - y_2|$ over all
    other people’s squares $(x_2,
    y_2)$.
The eccentrics now want your help in placing their houses
    optimally, so that the sum of the happiness they experience is
    as high as possible. Can you help them?
","The input consists of $10$ test cases, which are described
    below.","Print $K$ lines with
    the positions of the houses. Each line should contain two
    numbers: first the row for the house (between $1$ and $N$), then the column (between
    $1$ and $M$). Two houses may not be placed at
    the same position.",hard,9.7
"Mario and Luigi are playing a game where they pick distinct
    numbers $M, L$
    ($0 \leq M,L <
    2^{10^{18}}$). In order to place careful bets on the
    outcome of the game, you wish to know whose number is larger.
    Both Mario and Luigi have already shared their secret numbers
    with their close friend Toadette, who has memorized both of
    their numbers as binary numbers with $10^{18}$ digits. So, you decide to go
    to Toadette for help!
Fortunately, Toadette is willing to help you, and lets you
    ask her questions of one of two following types:
Give two integers $a$ and $b$, and ask “If you write out
        $M$ and $L$ in binary, are $M$’s bits in the (inclusive)
        range $[a,b]$ equal to
        $L$’s bits in the same
        range?” Toadette responds “YES”
        or “NO”.
Give an integer $x$, and ask “Is the $x$’th bit of $M$ or $L$ greater?” Toadette responds
        with “MARIO”, “LUIGI”, or “EQUAL”.
However, Toadette is afraid that her answers to questions of
    the first type gives you too much information, so she decides
    to make things interesting. Each time you ask a question of the
    first type, she will lie to you (independently and randomly)
    with probability $\frac{1}{13}$. Can you find out whose
    number is larger by asking at most 192 questions?
",,,hard,9.6
"Žofka is bending a copper wire. She starts with a straight
    wire placed on the table with the starting point glued to the
    middle of the table. She then repeatedly picks a point on the
    wire and bends the part starting at that point (away from the
    starting point) by $90$
    degrees (either clockwise or counterclockwise). Throughout the
    process the starting point stays glued to the middle of the
    table.
The most important consideration is that she does not want
    the wire to touch itself as she bends it (that would summon the
    wire ghost). She needs your help. She has a list of points
    together with the direction at each point (clockwise or
    counterclockwise). She wants to know if bending the wire at the
    listed points in the given order would cause the wire ghost to
    appear at any time during the process.
","The first line contains two integers $L$ and $n$ where $L$ is the length of the wire and
    $n$ is the number of
    points. Each of the next $n$ lines contains a number from
    $\{ 0,\dots ,L\} $
    (describing the point on the wire) followed by W (clockwise) or C (counter
    clockwise). You may assume $L\leq
    100\, 000\, 000$ and $n\leq 1\, 000$.","The output consists of a single line consisting of the
    string GHOST if the wire would touch itself
    during the bending, and the string SAFE
    otherwise.",hard,9.6
"Your dog Spot is let loose in the park. Well, relatively
    loose – he is tied to a post with a leash, limiting his
    movements. Spread around the park are various squeaky toys and
    other dog paraphernalia, which Spot happily goes after when he
    sees them. When he gets to a toy he will chew at it for a while
    until it has become defunct, at which point he will go after
    the next toy, which looks much squeakier.
This is all very well, but there are obstacles to Spot’s
    joyful canine play: trees. In the park there are several trees,
    and if Spot walks around a tree his leash gets wrapped around
    the tree, making his movements more limited. Being a dog, with
    pressing squeaky matters to attend to, Spot does not really
    have time to take things such as trees into account, and always
    goes directly in a straight line for his next toy. If he can’t
    get to his next toy because he has run out of leash, Spot will
    start barking uncontrollably (as no doubt any of us would) and
    you have to help him. How long would Spot’s leash have to be in
    order for him to run out of toys before he runs out of
    leash?
For practical purposes, you may assume that (when seen from
    above) Spot, his toys, and the trees are points, and that the
    post that the leash is tied to will not hinder Spot’s movements
    in any way. After having finished chewing a toy, Spot always
    goes for the most shiny unchewed toy. The post to which Spot’s
    leash is tied is located at coordinates $(0,0)$, and this is also where Spot
    is initially located.
","The first line of input consists of two integers
    $n$ and $m$, where $1 \le n \le 50$ is the number of toys
    in the park and $0 \le m \le
    50$ is the number of trees in the park. Then follow
    $n$ lines, each containing
    two integers $x$,
    $y$ giving the coordinates
    of a toy. The toys are listed in decreasing order of shininess.
    This is followed by $m$
    lines, each containing two integers $x$, $y$, indicating that there is a tree
    at those coordinates.","Write a single line containing the length needed for the
    leash in order for Spot to be able to get to all his toys,
    rounded to two decimal digits.",hard,9.6
"You handle signal processing for an extra-terrestrial mining
    company, and your vessel is currently approaching an asteroid.
    Preliminary scans show the presence of $k$ mineral deposits on the
    asteroid, but their precise locations are unknown.
The surface of the asteroid can be seen as a grid of integer
    coordinates. Each of the mineral deposits is located at unknown
    integer coordinates such that the $i$th deposit has coordinates
    $(x_ i, y_ i)$ with
    $-b \le x_ i \le b$ and
    $-b\le y_ i \le b$ for
    some integer $b$
    corresponding to the size of your initial scan.
To determine the precise locations of the mineral deposits,
    you may send probes to the surface of the asteroid. The probes
    are sent out in waves of several probes at once.
Say you sent a wave of $d$ probes to the surface at
    coordinates $(s_ j,t_ j)$
    for $1\leq j\leq d$. When
    a probe arrives at its coordinates, it determines the Manhattan
    distances to each of the $k$ mineral deposits and sends
    the distances back to the ship. All data packets arrive at the
    same time, and it is not possible to determine which probes
    returned which distances. Thus the wave returns the
    $k\cdot d$ integer
    distances
You need to minimise the number of waves of probes that is
    sent to the surface.
",,,hard,9.6
"The objective of this problem is to train a Binary Neural
    Network to classify images. The training occurs on your own
    computer, and you should submit a program which simply outputs
    the trained weights.
The images are of handwritten digits from the well-known
    MNIST dataset. Your task is to classify each image into one of
    ten classes: digits $0$ through $9$.
An MNIST image is originally a collection of $28\times 28$ pixels, each pixel being
    a byte, but for this problem it is given to us in a compressed
    form of $51$ bits. For the
    $m^\textrm {th}$ image,
    the input is denoted by
that is, $x^ m$ is a
    vector of $51$ values
    (either $-1$ or
    $1$). Its corresponding
    label is $y^ m \in \{ 0,1,\ldots
    ,9\} $. There are a number of labelled images given for
    training, and a separate set of images reserved for testing
    (and known only to the judging software). The goal is to
    maximize the classification accuracy on the test images using a
    binary neural network, which we explain next.
",The program you submit should read no input.,,hard,9.6
"Three rival gangs of bandits, the Marauders, the Attackers,
    and the Plunderers, are fighting one another for a limited
    supply of gold. Each gang has one member for each piece of gold
    collectively owned by the gang. Every night one gang will raid
    the hideout of another gang to steal gold. However, in the
    spirit of inclusivity, one gang may only conduct a raid if
    every member of the gang can steal one piece of gold from the
    targeted gang. Thus, a gang with $n$ members can raid a gang with
    $m$ pieces of gold if and
    only if $n\leq m$. After a
    raid, the raiding gang will gain one piece of gold for every
    member of the gang, and the raided gang will lose one piece of
    gold for every member of the raiding gang. Bandits are not
    content to be part of a gang if they do not have their very own
    piece of gold. So, after a raid, some members of the targeted
    gang will leave to join the raiding gang such that every bandit
    has their own piece of gold again. That is, after gang
    $A$ with $n$ members and $n$ pieces of gold raids gang
    $B$ with $m$ pieces of gold and $m$ members, gang $A$ will have $2n$ pieces of gold and $2n$ gang members and gang
    $B$ will have $m-n$ pieces of gold and $m-n$ gang members.
Behind the planning of all raids is one mastermind, Steve.
    Steve has convinced each of the gangs to trust him, unbeknownst
    to the others, such that on each night a raid will be conducted
    at Steve’s direction. Steve has grown tired of the constant
    fighting and wants to see it end as soon as possible, before
    the gangs realize that Steve is manipulating them. The fighting
    will end as soon as one gang has no gold remaining. Help Steve
    stop the fighting by finding a short sequence of raids that
    will entirely deplete one gang of its gold.
","The input consists of $3$ space-separated positive integers,
    $a, b, c$, the number of
    gang members and pieces of gold that the Marauders, the
    Attackers, and the Plunderers initially have, respectively. It
    is guaranteed that $1\leq a,b,c
    \leq 10^{10}$.","On the first line of output, print a single integer,
    $R$, the number of raids
    used to reduce one gang’s gold supply to zero (may not be
    unique). The following $R$
    lines of output must describe one such valid sequence of raids.
    Specifically, the $i$th
    line should contain $3$
    space-separated integers, the number of pieces of gold
    collectively owned by each of the Marauders, the Attackers, and
    the Plunderers, respectively, after the raid on the
    $i$th night (starting with
    the first night). To avoid suspicion, $R$ must be at most $5\sqrt{a+b+c}$. It can be proven that
    for any integers $a,b,c$
    satisfying $1\leq a,b,c \leq
    10^{10}$, there is a sequence of raids for which
    $R\leq 5\sqrt{a+b+c}$.",hard,9.5
"Selma is visited by her two grandchildren Elsa and Asle who
    love chocolate. To be precise, they are especially fond of the
    brand Nut Cream Puffed Chocolate that comes in bars made up by
    $6 \times 6$ squares. The
    bars can be broken along the valleys between squares into
    smaller rectangular bars of integer dimensions. Due to the
    fragile nature of this type of chocolate, the bars often break
    into smaller rectangular bars even before you unpack them (but
    still only of integer dimensions).
Thus Selma finds herself with a set of rectangular bars of
    various dimensions in her candy stash. She knows how important
    it is to be fair to children, so not only does she want to give
    Elsa and Asle the same amount of chocolate, but also identical
    collections of rectangular bars (where an $a \times b$ bar is considered
    identical to a $b \times
    a$ bar). To do this, Selma can break her bars into
    smaller pieces. A break is the operation of taking an
    $a\times b$ bar and
    breaking it along a valley to produce two bars of dimensions
    $c\times b$ and
    $(a-c)\times b$, for some
    integer $c\in [1,a-1]$, or
    two bars of dimensions $a\times
    d$ and $a\times
    (b-d)$, for some integer $d\in [1,b-1]$. See Figure 1 for
    an example.
Selma would like to give her two grandchildren identical
    collections of bars, each collection consisting of at least
    $t$ squares of chocolate.
    What is the minimum number of breaks she needs to make to be
    able to do this?
","The first line of input contains two integers $n$ and $t$ ($1
    \le n \le 50$, $1 \le t
    \le 900$), where $n$ is the number of bars Selma has,
    and $t$ is the least
    number of squares she wants each grandchild to receive. Then
    follows a line containing $n$ bar descriptions. A bar
    description is on the format “$a$x$b$” for
    two integers $1 \le a, b \le
    6$.","Output the minimum number of breaks needed to obtain two
    identical collections of bars, each having a total of at least
    $t$ squares.",hard,9.5
"You are given a simple undirected graph with no self-loops
    or multiple edges. Some of the edges are marked as
    Special.
Your task is to find a simple cycle where, for each
    Special edge, that edge either belongs to the cycle or
    neither of its endpoints touch the cycle. The cycle is not
    allowed to repeat vertices. Output any solution, or report that
    none exist.
","The first line of input contains three integers $n$ ($2
    \le n \le 150$), $m$ ($1
    \le m \le \frac{n \cdot (n-1)}{2}$) and $k$
    ($1 \le k \le m$),
    where $n$ is the number of
    nodes in the graph, $m$ is
    the number of edges, and $k$ is the number of edges that are
    Special. The nodes are numbered $1$ through $n$.","Output an integer denoting the length of the found cycle on
    one line. On subsequent lines, output the vertices of the cycle
    in order around the cycle, one per line. If no such cycle
    exists, simply output $-1$.",hard,9.5
